range,cost,capacity,config
5.323683739,1894.006348,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^bf^cg,6,3"
2.42863369,1742.095215,6,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3------------------^ab^ac^ad^ae^df^eg^bf^cg,6,3"
10.76037216,2124.008789,7,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^df^eg^bf^cg,7,3"
8.222369194,2111.02417,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------*gNL3---------^ab^ac^ad^ae^df^eg^bf^cg,8,3"
7.659773827,2111.02417,9,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------*gNL3---------^ab^ac^ad^ae^df^eg^bf^cg,9,3"
2.592879534,1740.172607,5,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^bf^gc,5,3"
6.751920223,1925.811157,7,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------*gNL3------------^ab^ac^ad^ae^df^eg^bf^gc,7,3"
4.081991673,1886.957886,7,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3---------------------^ab^ac^ad^ae^df^eg^bf^gc,7,3"
9.087693214,2145.684326,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----*gNL3----^ab^ac^ad^ae^df^eg^bf^gc,8,30"
24.70702744,1761.684937,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^eg^bg,2,3"
10.11303425,1970.347656,7,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----*gNL3-----^ab^ac^ad^ae^df^eg^bg,7,3"
27.35100937,1721.420166,0,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------------*gNL3-------------------------^ab^ac^ad^ae^df^eg^cf,0,3"
21.9807663,1809.290894,5,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------*gNL3------^ab^ac^ad^ae^df^eg^cf,5,3"
5.124115467,1771.977417,5,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------*gNL3------------^ab^ac^ad^ae^df^eg^cf,5,3"
2.432228327,1736.543457,5,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3--------------------^ab^ac^ad^ae^df^eg^cf,5,3"
11.57762241,1970.347656,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----*gNL3-----^ab^ac^ad^ae^df^eg^cf,6,3"
11.07006741,1963.124634,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3------*gNL3------^ab^ac^ad^ae^df^eg^cf,6,3"
2.795830488,1750.233643,6,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3-----------------^ab^ac^ad^ae^df^eg^cf,6,3"
2.367134094,1740.172607,6,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^cf,6,3"
2.156766176,1734.83374,6,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3---------------------^ab^ac^ad^ae^df^eg^cf,6,3"
8.553642273,2124.008789,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^df^eg^cf,8,3"
7.01940918,2069.729248,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3-----------------^ab^ac^ad^ae^df^eg^cf,8,3"
6.471241951,2054.767822,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3---------------------^ab^ac^ad^ae^df^eg^cf,8,3"
84.22585297,1746.051758,0,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3------------------^ab^ac^ad^ae^df^eg^cf^bg,0,3"
74.4551239,1740.172607,0,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^cf^bg,0,3"
35.44984055,1726.889893,0,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------------*gNL3-----------------------^ab^ac^ad^ae^df^eg^cf^bg,0,3"
18.68117905,1729.908325,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------*gNL3----------------------^ab^ac^ad^ae^df^eg^cf^bg,1,3"
16.6091404,1726.889893,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------------*gNL3-----------------------^ab^ac^ad^ae^df^eg^cf^bg,1,3"
10.35151482,1716.664673,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------------*gNL3---------------------------^ab^ac^ad^ae^df^eg^cf^bg,1,3"
13.43032074,1748.085571,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3-----------------^ab^ac^ad^ae^df^eg^cf^bg,2,3"
9.082235336,1736.543457,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3--------------------^ab^ac^ad^ae^df^eg^cf^bg,2,3"
8.032859802,1733.124146,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3---------------------^ab^ac^ad^ae^df^eg^cf^bg,2,3"
4.877543926,1721.420166,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------------*gNL3-------------------------^ab^ac^ad^ae^df^eg^cf^bg,2,3"
15.47025967,2153.520752,6,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---*gNL3---^ab^ac^ad^ae^df^eg^cf^bg,6,3"
6.722533226,1915.518677,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^eg^cf^bg,6,3"
2.236399889,1736.543457,6,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3--------------------^ab^ac^ad^ae^df^eg^cf^bg,6,3"
7.149392605,1931.343994,7,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------*gNL3-----------^ab^ac^ad^ae^df^eg^cf^bg,7,3"
5.161971569,1901.919312,7,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3-----------------^ab^ac^ad^ae^df^eg^cf^bg,7,3"
2.723050833,1748.085571,6,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3-----------------^ab^ac^ad^ae^df^eg^cf^cg,6,3"
57.12803268,1752.381714,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^eg^cf^eg,1,3"
2.125525713,1725.476196,3,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------------*gNL3------------------------^ab^ac^ad^ae^df^eg^cf^eg,3,3"
