range,capacity,cost,velocity,config
14.23052216,12,4208.700195,10.28493309,"*aMM0++++++++*bNM1++*cMN2++*dLM1++*eML2++*fNL3------*gLN3------^ab^ac^ad^ae^ef^dg,12,3"
14.27100563,30,4696.821289,29.71036339,"*aMM0-*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNL0-*gLN0-^ab^ac^ad^ae^ef^dg^bf^cg,30,3"
14.27567768,30,4696.821289,29.717556,"*aMM0-*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNL0-*gLN0-^ab^ac^ad^ae^ef^dg^bf^cg,30,3"
14.35332012,35,4975.220703,31.73527718,"*aMM0----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+*gNL0+^ab^ac^ad^ae^df^eg^fc,35,3"
14.94314575,20,6557.308594,8.897120476,"*aMM0++++++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,20,3"
14.97129059,53,6325.428711,26.57016182,"*aMM0+*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,53,3"
14.98827171,34,5034.607422,30.21675491,"*aMM0--*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0*gLL1*hNL0*iNN2^ab^ac^ad^ae^cf^dg^eh^bi^hb^df^ge^ci,34,3"
14.99698639,61,6760.45459,27.55101013,"*aMM0*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,61,3"
15.00001812,25,10749.12012,7.607616425,"*aMM0++++++++++++++++++*bNM2++++++*cMN1++++++*dLM2++++++*eML1++++++*fNN4-*gOM1++++*hMO2++++*iMK2++++*jKM1++++*kLL4^ab^ac^ad^ae^bf^bg^ch^ei^dj^dk^cf^ek,25,3"
15.19540119,5,4315.040039,10.99726677,"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL3+*gLN3+^ab^ac^ad^ae^bf^cg,5,3"
15.19926071,20,7013.256836,8.093894005,"*aMM0++++++++++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNL3*gLN3^ab^ac^ad^ae^ef^cg,20,3"
15.29280949,20,8287.736328,16.07983208,"*aMM0++++++++++++++*bNM3+*cMN3+*dLM3+*eML3+*fNN1++++*gLL1++++*hLN1++++*iNL1++++*jOM2++++*kMO2++++*lKM2++++*mMK2++++^ab^ac^ad^ae^cf^eg^dh^ch^bf^bi^ie^bj^ck^dl^em,20,3"
15.31851006,20,7828.875977,7.590376854,"*aMM0+++++++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fMO2++*gOM1++*hKM1++*iMK2++*jNL3++++++++*kLN3++++++++^ab^ac^ad^ae^cf^bg^dh^ei^ej^dk^jb^kc,20,3"
15.4652729,6,2011.141602,9.696977615,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fOM4*gNN4*hNL3*iMO4*jLN3*kKM4*lLL4*mMK4*nPM4*oMP4*pJM4*qMJ4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^fn^io^kp^mq^cg^dj^el,6,3"
15.48950863,30,4864.630859,29.21019554,"*aMM0*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-^ab^ac^ad^ae^df^eg^fc^gb,30,3"
15.53870773,20,7007.670898,8.196818352,"*aMM0+++++++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,20,3"
15.55925846,20,9768.370117,14.02729321,"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fLN3*gNL3*hOM2+++++*iMO1+++++*jKM2+++++*kMK1+++++*lLL0+++*mNN0+++^ab^ac^ad^ae^cf^fd^eg^bg^bh^ci^dj^ek^el^dl^bm^cm,20,3"
15.63303089,30,4947.516113,31.74934578,"*aMM0---*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0*gLL1+*hNL0*iNN2+^ab^ac^ad^ae^cf^dg^eh^bi,30,3"
15.68849945,30,4947.516113,31.87226295,"*aMM0---*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0*gLL1+*hNL0*iNN2+^ab^ac^ad^ae^cf^dg^eh^bi,30,3"
15.73491764,10,5436.636719,9.646113396,"*aMM0++++++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNL3*gLN3^ab^ac^ad^ae^ef^cg,10,3"
15.82916069,5,5656.186523,14.68195534,"*aMM0++++++++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++^ab^ac^ad^ae,5,3"
15.8960247,5,4639.699707,14.42865658,"*aMM0+++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"
15.89607811,5,4639.700684,14.42873287,"*aMM0+++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"
15.89608097,5,4639.700684,14.42873573,"*aMM0+++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"
16.06564903,60,6942.846191,26.69658661,"*aMM0+*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,60,3"
16.19846153,25,10937.76563,7.157206535,"*aMM0++++++++++++++++++*bNM2++++++*cMN1++++++*dLM2++++++*eML1++++++*fNN4*gOM1++++*hMO2++++*iMK2++++*jKM1++++*kLL4*lNL3+++*mLN3+++^ab^ac^ad^ae^bf^bg^ch^ei^dj^dk^cf^ek^el^cm,25,3"
16.22093201,65,6598.986328,17.44205666,"*aMM0*bNM2++*cMN1++*dLM2++*eML1++*fMO1++++*gKM2++++*hMK1++++*iOM2++++*jNL0+*kLN0+*lNK3*mLO3^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jl^km,65,3"
16.31905746,20,7958.793457,7.706019878,"*aMM0+++++++++++++++*bNM2+++*cMN1++++*dLM2+++*eML1++++*fLN3+++++++++*gNL3+++++++++*hLL2++++*iNN1++++^ab^ac^ad^ae^cf^bg^dh^ci^bi^df^eg^eh,20,3"
16.44939995,15,4586.816406,34.37338638,"*aMM0----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-*hMO1*iMK1*jOM2*kKM2^ab^ac^ad^ae^df^eg^ch^ei^bj^dk^fc^gb,15,3"
16.6061058,80,9496.889648,13.31216812,"*aMM0++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++*lNN2*mLL1^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^bl^dm^fc^gb^em^cl,80,3"
16.61073685,51,6523.012695,25.752285,"*aMM0++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,51,3"
16.6108036,51,6523.012695,25.75240517,"*aMM0++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,51,3"
16.65633583,76,8678.96875,16.00342751,"*aMM0++++++++*bNM1+++*cMN2+++*dLM1+++*eML2+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,76,3"
16.66214943,15,3937.012207,34.20612335,"*aMM0-----*bNM2++*cMN1++*dLM2++*eML1++*fLN0-*gNL0-^ab^ac^ad^ae^df^eg^fc,15,3"
16.66935921,65,6790.518066,16.77720642,"*aMM0+*bNM2++*cMN1++*dLM2++*eML1++*fMO1++++*gKM2++++*hMK1++++*iOM2++++*jNL0+*kLN0+*lNK3+*mLO3+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jl^km,65,3"
16.67527199,70,7862.944824,24.88859367,"*aMM0++*bNM2+++*cMN2+++*dLM1+++*eML1+++*fLN0+++*gNL0+++*hOM1++++*iMO2++++*jMK2++++*kKM1++++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,70,3"
16.73263931,1,4017.276855,18.01912689,"*aMM0+++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,1,3"
16.8315506,54,6538.203613,28.05901527,"*aMM0*bNM1++*cMN2++*dLM1++*eML2++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,54,3"
16.85012245,50,6523.011719,25.94058037,"*aMM0++*bNM2++*cMN1++*dLM2++*eML1++*fOM1+++*gMO2+++*hMK2+++*iKM1+++*jLN0+*kNL0+^ab^ac^ad^ae^bf^cg^eh^di^dj^ek,50,3"
16.90060234,30,4859.668457,33.42922211,"*aMM0-----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+*gNL0+^ab^ac^ad^ae^df^eg^fc,30,3"
16.90130234,5,4980.686523,13.09189034,"*aMM0++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"
16.90130997,5,4980.686523,13.09189701,"*aMM0++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3"
16.90372276,30,4859.668457,33.44422913,"*aMM0-----*bNM2+++*cMN2+++*dLM1+++*eML1+++*fNL0+*gLN0+^ab^ac^ad^ae^ef^dg,30,3"
16.96439743,2,2977.449951,38.03334045,"*aMM0----*bNM2++*cMN1++*dLM2++*eML1++*fLN0-----*gNL0-----^ab^ac^ad^ae^df^eg^fc^gb,2,3"
